track_name,total_streams
BIRDS OF A FEATHER,1756722510
Espresso,1756174447
Beautiful Things,1696004562
Die With A Smile,1395375339
Gata Only,1350249475
Lose Control,1281676809
"One Of The Girls (with JENNIE, Lily Rose Depp)",1209202718
Too Sweet,1198687631
End of Beginning,1189270302
Cruel Summer,1157720792
