track_name,max_weeks_on_chart
Believer,404
Perfect,379
lovely (with Khalid),350
Shape of You,347
Say You Won't Let Go,334
Sunflower - Spider-Man: Into the Spider-Verse,314
Someone You Loved,311
goosebumps,271
Blinding Lights,266
Something Just Like This,240
Sweater Weather,227
Watermelon Sugar,225
One Dance,223
Starboy,222
Yellow,211
Lucid Dreams,203
Riptide,203
Another Love,195
Counting Stars,193
Heat Waves,185
