date,rank
2024-05-23,7
2024-05-30,5
2024-06-06,3
2024-06-13,3
2024-06-20,3
2024-06-27,3
2024-07-04,3
2024-07-11,2
2024-07-18,1
2024-07-25,2
2024-08-01,2
2024-08-08,2
2024-08-15,1
2024-08-22,1
2024-08-29,2
2024-09-05,2
2024-09-12,2
2024-09-19,2
2024-09-26,2
2024-10-03,2
2024-10-10,2
2024-10-17,2
2024-10-24,3
2024-10-31,3
2024-11-07,3
2024-11-14,3
2024-11-21,3
2024-11-28,4
2024-12-05,3
2024-12-12,5
2024-12-19,5
2024-12-26,16
2025-01-02,3
